Year,State,StateAbbr,Metric,DemographicCategory,DemographicGroup,Value,LowerCI,UpperCI,SampleSize
2017,Alabama,AL,Low Fruit Intake,Income,"$15,000 - $24,999",46.4,42.1,50.7,1002.0
2017,Alabama,AL,Low Fruit Intake,Income,"$25,000 - $34,999",46.2,40.2,52.4,518.0
2017,Alabama,AL,Low Fruit Intake,Income,"$35,000 - $49,999",45.5,40.6,50.5,708.0
2017,Alabama,AL,Low Fruit Intake,Income,"$50,000 - $74,999",42.7,38.1,47.5,723.0
2017,Alabama,AL,Low Fruit Intake,Income,"$75,000 or greater",39.5,35.9,43.3,1217.0
2017,Alabama,AL,Low Fruit Intake,Age,18 - 24,42.1,35.5,48.9,309.0
2017,Alabama,AL,Low Fruit Intake,Race/Ethnicity,Non-Hispanic 2 or more races,36.6,25.1,49.8,104.0
2017,Alabama,AL,Low Fruit Intake,Age,25 - 34,45.4,40.5,50.5,584.0
2017,Alabama,AL,Low Fruit Intake,Age,35 - 44,44.1,39.6,48.7,694.0
2017,Alabama,AL,Low Fruit Intake,Age,45 - 54,52.6,48.7,56.5,996.0
2017,Alabama,AL,Low Fruit Intake,Age,55 - 64,47.7,44.4,51.1,1317.0
2017,Alabama,AL,Low Fruit Intake,Age,65 or older,38.1,35.6,40.6,2240.0
2017,Alabama,AL,Low Fruit Intake,Race/Ethnicity,NH American Indian/Alaska Native,56.4,41.0,70.5,77.0
2017,Alabama,AL,Low Fruit Intake,Education,College graduate,34.8,32.0,37.7,1833.0
2017,Alabama,AL,Low Fruit Intake,Income,Data not reported,47.4,43.4,51.4,1235.0
2017,Alabama,AL,Low Fruit Intake,Sex,Female,42.2,40.0,44.4,3685.0
2017,Alabama,AL,Low Fruit Intake,Education,High school graduate,46.9,43.7,50.0,1816.0
2017,Alabama,AL,Low Fruit Intake,Race/Ethnicity,Hispanic,26.9,16.3,40.9,77.0
2017,Alabama,AL,Low Fruit Intake,Income,"Less than $15,000",49.2,44.1,54.3,737.0
2017,Alabama,AL,Low Fruit Intake,Education,Less than high school,56.1,51.3,60.9,707.0
2017,Alabama,AL,Low Fruit Intake,Sex,Male,47.9,45.2,50.5,2452.0
2017,Alabama,AL,Low Fruit Intake,Race/Ethnicity,Non-Hispanic Black,44.1,40.6,47.7,1501.0
2017,Alabama,AL,Low Fruit Intake,Race/Ethnicity,Non-Hispanic White,46.3,44.3,48.3,4195.0
2017,Alabama,AL,Low Fruit Intake,Education,Some college or technical school,44.7,41.5,47.9,1769.0
2017,Alabama,AL,Low Fruit Intake,Overall,Total,44.9,43.1,46.6,6140.0
2017,Alaska,AK,Low Fruit Intake,Income,"$15,000 - $24,999",38.4,29.3,48.5,327.0
2017,Alaska,AK,Low Fruit Intake,Income,"$25,000 - $34,999",32.4,22.6,44.0,216.0
2017,Alaska,AK,Low Fruit Intake,Income,"$35,000 - $49,999",37.0,28.7,46.1,336.0
2017,Alaska,AK,Low Fruit Intake,Income,"$50,000 - $74,999",34.0,27.4,41.3,427.0
2017,Alaska,AK,Low Fruit Intake,Income,"$75,000 or greater",32.4,28.3,36.7,1139.0
2017,Alaska,AK,Low Fruit Intake,Age,18 - 24,49.3,38.8,59.9,153.0
2017,Alaska,AK,Low Fruit Intake,Race/Ethnicity,Non-Hispanic 2 or more races,43.4,29.6,58.4,125.0
2017,Alaska,AK,Low Fruit Intake,Age,25 - 34,30.3,24.2,37.3,320.0
2017,Alaska,AK,Low Fruit Intake,Age,35 - 44,38.5,30.6,47.2,377.0
2017,Alaska,AK,Low Fruit Intake,Age,45 - 54,37.9,31.7,44.5,464.0
2017,Alaska,AK,Low Fruit Intake,Age,55 - 64,34.8,29.4,40.6,785.0
2017,Alaska,AK,Low Fruit Intake,Age,65 or older,34.9,30.1,40.0,860.0
2017,Alaska,AK,Low Fruit Intake,Race/Ethnicity,NH American Indian/Alaska Native,59.5,50.6,67.7,450.0
2017,Alaska,AK,Low Fruit Intake,Education,College graduate,26.3,22.6,30.3,1145.0
2017,Alaska,AK,Low Fruit Intake,Income,Data not reported,45.8,35.6,56.3,265.0
2017,Alaska,AK,Low Fruit Intake,Sex,Female,29.4,25.6,33.4,1541.0
2017,Alaska,AK,Low Fruit Intake,Education,High school graduate,42.2,36.2,48.4,778.0
2017,Alaska,AK,Low Fruit Intake,Race/Ethnicity,Hispanic,17.5,9.7,29.5,82.0
2017,Alaska,AK,Low Fruit Intake,Income,"Less than $15,000",55.2,43.3,66.5,249.0
2017,Alaska,AK,Low Fruit Intake,Education,Less than high school,54.0,41.6,66.0,173.0
2017,Alaska,AK,Low Fruit Intake,Sex,Male,43.6,39.4,48.0,1415.0
2017,Alaska,AK,Low Fruit Intake,Race/Ethnicity,Non-Hispanic White,34.5,31.5,37.7,2136.0
2017,Alaska,AK,Low Fruit Intake,Education,Some college or technical school,36.7,31.8,41.9,847.0
2017,Alaska,AK,Low Fruit Intake,Overall,Total,36.9,34.0,39.9,2959.0
2017,Arizona,AZ,Low Fruit Intake,Income,"$15,000 - $24,999",38.6,35.7,41.5,1882.0
2017,Arizona,AZ,Low Fruit Intake,Income,"$25,000 - $34,999",40.4,36.7,44.3,1189.0
2017,Arizona,AZ,Low Fruit Intake,Income,"$35,000 - $49,999",36.7,33.8,39.7,1745.0
2017,Arizona,AZ,Low Fruit Intake,Income,"$50,000 - $74,999",36.7,33.8,39.6,1924.0
2017,Arizona,AZ,Low Fruit Intake,Income,"$75,000 or greater",32.4,30.5,34.3,3751.0
2017,Arizona,AZ,Low Fruit Intake,Age,18 - 24,41.7,37.7,45.7,742.0
2017,Arizona,AZ,Low Fruit Intake,Race/Ethnicity,Non-Hispanic 2 or more races,35.7,27.3,45.2,194.0
2017,Arizona,AZ,Low Fruit Intake,Age,25 - 34,38.9,35.9,42.1,1211.0
2017,Arizona,AZ,Low Fruit Intake,Age,35 - 44,34.6,31.8,37.4,1582.0
2017,Arizona,AZ,Low Fruit Intake,Age,45 - 54,39.0,36.5,41.5,2075.0
2017,Arizona,AZ,Low Fruit Intake,Age,55 - 64,37.3,35.1,39.5,2782.0
2017,Arizona,AZ,Low Fruit Intake,Age,65 or older,33.9,32.4,35.4,5496.0
2017,Arizona,AZ,Low Fruit Intake,Race/Ethnicity,NH American Indian/Alaska Native,39.3,33.9,45.0,524.0
2017,Arizona,AZ,Low Fruit Intake,Race/Ethnicity,Non-Hispanic Asian,30.7,23.8,38.5,208.0
2017,Arizona,AZ,Low Fruit Intake,Education,College graduate,28.7,27.2,30.2,5519.0
2017,Arizona,AZ,Low Fruit Intake,Income,Data not reported,38.4,35.7,41.1,2372.0
2017,Arizona,AZ,Low Fruit Intake,Sex,Female,33.3,31.9,34.7,7652.0
2017,Arizona,AZ,Low Fruit Intake,Education,High school graduate,41.5,39.4,43.7,3151.0
2017,Arizona,AZ,Low Fruit Intake,Race/Ethnicity,Hispanic,37.3,34.8,39.8,2080.0
2017,Arizona,AZ,Low Fruit Intake,Income,"Less than $15,000",45.3,41.2,49.3,1025.0
2017,Arizona,AZ,Low Fruit Intake,Education,Less than high school,42.2,38.3,46.3,838.0
2017,Arizona,AZ,Low Fruit Intake,Sex,Male,41.3,39.7,42.9,6216.0
2017,Arizona,AZ,Low Fruit Intake,Race/Ethnicity,Non-Hispanic Black,40.8,35.1,46.8,400.0
2017,Arizona,AZ,Low Fruit Intake,Race/Ethnicity,Non-Hispanic White,37.3,36.1,38.5,10011.0
2017,Arizona,AZ,Low Fruit Intake,Race/Ethnicity,Non-Hispanic Other,35.3,25.1,46.9,126.0
2017,Arizona,AZ,Low Fruit Intake,Education,Some college or technical school,38.3,36.6,40.1,4332.0
2017,Arizona,AZ,Low Fruit Intake,Overall,Total,37.2,36.1,38.3,13888.0
2017,Arkansas,AR,Low Fruit Intake,Income,"$15,000 - $24,999",43.0,37.1,49.1,834.0
2017,Arkansas,AR,Low Fruit Intake,Income,"$25,000 - $34,999",43.2,35.3,51.5,496.0
2017,Arkansas,AR,Low Fruit Intake,Income,"$35,000 - $49,999",50.5,42.8,58.1,603.0
2017,Arkansas,AR,Low Fruit Intake,Income,"$50,000 - $74,999",43.4,36.7,50.3,584.0
2017,Arkansas,AR,Low Fruit Intake,Income,"$75,000 or greater",39.6,34.1,45.4,829.0
2017,Arkansas,AR,Low Fruit Intake,Age,18 - 24,49.8,39.8,59.8,139.0
2017,Arkansas,AR,Low Fruit Intake,Race/Ethnicity,Non-Hispanic 2 or more races,42.1,26.3,59.6,111.0
2017,Arkansas,AR,Low Fruit Intake,Age,25 - 34,43.9,35.7,52.4,217.0
2017,Arkansas,AR,Low Fruit Intake,Age,35 - 44,42.7,36.0,49.6,357.0
2017,Arkansas,AR,Low Fruit Intake,Age,45 - 54,49.9,44.1,55.8,592.0
2017,Arkansas,AR,Low Fruit Intake,Age,55 - 64,45.2,40.7,49.8,1016.0
2017,Arkansas,AR,Low Fruit Intake,Age,65 or older,39.5,36.4,42.7,2410.0
2017,Arkansas,AR,Low Fruit Intake,Race/Ethnicity,NH American Indian/Alaska Native,43.1,23.1,65.6,58.0
2017,Arkansas,AR,Low Fruit Intake,Education,College graduate,41.8,37.4,46.3,1435.0
2017,Arkansas,AR,Low Fruit Intake,Income,Data not reported,42.6,36.0,49.4,864.0
2017,Arkansas,AR,Low Fruit Intake,Sex,Female,41.2,38.0,44.5,3029.0
2017,Arkansas,AR,Low Fruit Intake,Education,High school graduate,48.6,44.1,53.1,1590.0
2017,Arkansas,AR,Low Fruit Intake,Race/Ethnicity,Hispanic,29.9,16.8,47.5,76.0
2017,Arkansas,AR,Low Fruit Intake,Income,"Less than $15,000",53.7,46.1,61.0,521.0
2017,Arkansas,AR,Low Fruit Intake,Education,Less than high school,46.1,37.6,54.8,391.0
2017,Arkansas,AR,Low Fruit Intake,Sex,Male,48.2,44.1,52.3,1694.0
